Category,Activity,Start_Time
Extracurricular,Sports Practices/Games,17.3
Well-being,Meditation/Yoga,13.21
Social,Parties/Gatherings,21.07
Well-being,Meditation/Yoga,14.48
Academic,Exams/Quizzes,19.73
Extracurricular,Volunteer Activities,14.29
Social,Parties/Gatherings,22.85
Extracurricular,Sports Practices/Games,16.64
Academic,Study Sessions,13.39
Work,Work Meetings,15.62
Well-being,Exercise,6.69
Personal,Doctor/Dentist Appointments,10.05
Work,Part-time Job Shifts,9.07
Academic,Classes/Lectures,8.56
Work,Work Meetings,15.36
Extracurricular,Volunteer Activities,14.37
Work,Part-time Job Shifts,11.3
Personal,Errands/Chores,19.96
Personal,Birthdays/Anniversaries,14.34
Personal,Errands/Chores,19.21
Personal,Doctor/Dentist Appointments,11.31
Personal,Birthdays/Anniversaries,14.04
Well-being,Exercise,7.58
Personal,Errands/Chores,19.21
Extracurricular,Sports Practices/Games,16.68
Extracurricular,Volunteer Activities,14.66
Well-being,Meditation/Yoga,14.57
Academic,Exams/Quizzes,18.16
Social,Family Events,14.09
Personal,Errands/Chores,18.32
Extracurricular,Club Meetings,19.82
Work,Work Meetings,15.74
Well-being,Meditation/Yoga,14.49
Extracurricular,Sports Practices/Games,17.16
Academic,Exams/Quizzes,18.64
Work,Work Meetings,16.11
Personal,Doctor/Dentist Appointments,9.1
Work,Part-time Job Shifts,11.63
Personal,Errands/Chores,18.96
Personal,Doctor/Dentist Appointments,11.02
Well-being,Meditation/Yoga,14.77
Academic,Classes/Lectures,10.72
Academic,Classes/Lectures,10.09
Social,Family Events,14.4
Social,Parties/Gatherings,22.47
Well-being,Meditation/Yoga,13.45
Work,Part-time Job Shifts,9.6
Extracurricular,Sports Practices/Games,17.78
Well-being,Meditation/Yoga,13.95
Well-being,Meditation/Yoga,14.17
Work,Work Meetings,16.98
Extracurricular,Volunteer Activities,14.08
Well-being,Meditation/Yoga,13.18
Extracurricular,Club Meetings,19.65
Academic,Study Sessions,13.46
Extracurricular,Club Meetings,19.81
Well-being,Meditation/Yoga,14.94
Social,Parties/Gatherings,22.4
Academic,Exams/Quizzes,18.49
Social,Family Events,14.3
Well-being,Meditation/Yoga,14.16
Academic,Study Sessions,13.69
Social,Family Events,14.33
Social,Parties/Gatherings,22.62
Extracurricular,Sports Practices/Games,17.08
Well-being,Exercise,6.97
Well-being,Meditation/Yoga,14.84
Extracurricular,Club Meetings,19.81
Personal,Doctor/Dentist Appointments,9.57
Personal,Errands/Chores,18.36
Academic,Exams/Quizzes,19.87
Work,Work Meetings,16.44
Work,Part-time Job Shifts,12.37
Well-being,Exercise,6.15
Extracurricular,Club Meetings,20.41
Personal,Birthdays/Anniversaries,14.72
Social,Parties/Gatherings,22.27
Academic,Study Sessions,14.04
Academic,Exams/Quizzes,19.21
Work,Part-time Job Shifts,10.7
Extracurricular,Volunteer Activities,14.43
Social,Family Events,14.15
Academic,Classes/Lectures,10.54
Well-being,Exercise,6.81
Personal,Doctor/Dentist Appointments,11.16
Extracurricular,Club Meetings,19.5
Personal,Errands/Chores,18.2
Social,Family Events,14.9
Well-being,Meditation/Yoga,14.56
Academic,Study Sessions,13.93
Work,Work Meetings,15.46
Academic,Classes/Lectures,10.12
Social,Family Events,14.32
Social,Parties/Gatherings,21.96
Extracurricular,Volunteer Activities,14.21
Well-being,Exercise,7.57
Extracurricular,Club Meetings,20.6
Work,Work Meetings,16.59
Personal,Doctor/Dentist Appointments,11.12
Work,Work Meetings,16.58
Personal,Doctor/Dentist Appointments,9.3
Extracurricular,Sports Practices/Games,17.87
Academic,Study Sessions,14.98
Academic,Exams/Quizzes,18.46
Academic,Classes/Lectures,11.96
Academic,Classes/Lectures,10.82
Extracurricular,Sports Practices/Games,16.3
Academic,Exams/Quizzes,18.32
Extracurricular,Sports Practices/Games,16.01
Social,Family Events,14.6
Extracurricular,Sports Practices/Games,17.94
Well-being,Meditation/Yoga,13.53
Extracurricular,Volunteer Activities,14.24
Well-being,Meditation/Yoga,14.69
Personal,Birthdays/Anniversaries,14.65
Work,Part-time Job Shifts,12.48
Extracurricular,Club Meetings,20.21
Work,Part-time Job Shifts,12.16
Social,Family Events,14.66
Well-being,Exercise,7.97
Well-being,Meditation/Yoga,13.98
Personal,Birthdays/Anniversaries,14.42
Extracurricular,Club Meetings,20.49
Work,Part-time Job Shifts,10.15
Work,Part-time Job Shifts,9.23
Personal,Errands/Chores,19.37
Social,Parties/Gatherings,22.61
Extracurricular,Sports Practices/Games,17.26
Academic,Exams/Quizzes,18.8
Extracurricular,Club Meetings,19.63
Well-being,Meditation/Yoga,14.24
Personal,Doctor/Dentist Appointments,10.15
Social,Family Events,14.93
Personal,Errands/Chores,19.38
Personal,Doctor/Dentist Appointments,9.99
Extracurricular,Club Meetings,19.48
Academic,Exams/Quizzes,18.67
Well-being,Meditation/Yoga,14.46
Well-being,Meditation/Yoga,13.12
Social,Family Events,14.07
Academic,Study Sessions,13.99
Extracurricular,Volunteer Activities,14.95
Work,Work Meetings,16.42
Personal,Birthdays/Anniversaries,14.94
Personal,Birthdays/Anniversaries,14.21
Personal,Errands/Chores,19.73
Personal,Errands/Chores,18.82
Academic,Classes/Lectures,10.32
Academic,Exams/Quizzes,18.91
Well-being,Meditation/Yoga,14.79
Work,Work Meetings,15.08
Work,Part-time Job Shifts,11.16
Extracurricular,Volunteer Activities,14.5
Work,Work Meetings,15.84
Well-being,Exercise,6.83
Extracurricular,Club Meetings,19.66
Academic,Classes/Lectures,8.66
Social,Parties/Gatherings,22.91
Academic,Exams/Quizzes,18.61
Social,Parties/Gatherings,22.6
Personal,Errands/Chores,18.05
Social,Parties/Gatherings,21.02
Academic,Study Sessions,13.39
Social,Parties/Gatherings,21.93
Work,Work Meetings,15.38
Well-being,Exercise,6.93
Extracurricular,Club Meetings,20.5
Academic,Exams/Quizzes,18.97
Academic,Study Sessions,14.33
Social,Parties/Gatherings,21.32
Academic,Classes/Lectures,8.3
Social,Family Events,14.71
Work,Work Meetings,15.49
Extracurricular,Club Meetings,19.98
Well-being,Exercise,6.57
Personal,Doctor/Dentist Appointments,10.03
Academic,Exams/Quizzes,19.29
Extracurricular,Club Meetings,19.29
Extracurricular,Sports Practices/Games,17.56
Well-being,Exercise,6.94
Social,Family Events,14.89
Well-being,Exercise,6.12
Personal,Doctor/Dentist Appointments,10.81
Work,Part-time Job Shifts,11.17
Work,Part-time Job Shifts,12.45
Work,Part-time Job Shifts,11.12
Extracurricular,Volunteer Activities,14.11
Personal,Doctor/Dentist Appointments,11.29
Work,Part-time Job Shifts,12.24
Social,Parties/Gatherings,22.9
Well-being,Exercise,7.76
Social,Parties/Gatherings,21.55
Personal,Errands/Chores,19.65
Social,Parties/Gatherings,22.1
Academic,Classes/Lectures,10.79
Well-being,Exercise,7.77
Extracurricular,Sports Practices/Games,16.64
Academic,Study Sessions,14.33
Extracurricular,Volunteer Activities,14.53
Personal,Doctor/Dentist Appointments,10.09
Social,Parties/Gatherings,22.99
Work,Part-time Job Shifts,10.2
Social,Parties/Gatherings,22.95
Academic,Exams/Quizzes,18.63
Personal,Birthdays/Anniversaries,14.57
Academic,Exams/Quizzes,18.92
Social,Parties/Gatherings,21.44
Work,Work Meetings,15.95
Academic,Study Sessions,14.34
Personal,Birthdays/Anniversaries,14.59
Well-being,Meditation/Yoga,14.17
Social,Parties/Gatherings,21.39
Work,Work Meetings,16.56
Academic,Exams/Quizzes,19.58
Social,Family Events,14.87
Extracurricular,Volunteer Activities,14.35
Academic,Exams/Quizzes,18.01
Social,Parties/Gatherings,22.99
Work,Part-time Job Shifts,12.13
Personal,Doctor/Dentist Appointments,10.78
Work,Part-time Job Shifts,11.18
Academic,Study Sessions,13.56
Work,Part-time Job Shifts,12.97
Work,Work Meetings,15.6
Academic,Exams/Quizzes,19.88
Personal,Birthdays/Anniversaries,14.21
Personal,Doctor/Dentist Appointments,9.58
Well-being,Meditation/Yoga,13.31
Personal,Errands/Chores,18.34
Well-being,Meditation/Yoga,13.17
Social,Family Events,14.64
Social,Family Events,14.46
Social,Parties/Gatherings,21.24
Extracurricular,Club Meetings,20.55
Well-being,Meditation/Yoga,14.75
Work,Work Meetings,16.7
Social,Parties/Gatherings,22.13
Well-being,Meditation/Yoga,14.02
Personal,Errands/Chores,19.75
Extracurricular,Club Meetings,20.21
Academic,Exams/Quizzes,18.74
Extracurricular,Sports Practices/Games,16.62
Work,Part-time Job Shifts,11.11
Work,Part-time Job Shifts,10.48
Extracurricular,Volunteer Activities,14.1
Work,Work Meetings,16.95
Work,Part-time Job Shifts,9.14
Social,Family Events,14.72
Work,Part-time Job Shifts,11.39
Extracurricular,Sports Practices/Games,16.98
Extracurricular,Sports Practices/Games,17.97
Extracurricular,Club Meetings,20.68
Academic,Exams/Quizzes,18.91
Personal,Birthdays/Anniversaries,14.1
Academic,Study Sessions,14.42
Personal,Doctor/Dentist Appointments,10.55
Extracurricular,Sports Practices/Games,16.76
Social,Parties/Gatherings,22.66
Social,Family Events,14.01
Personal,Birthdays/Anniversaries,14.03
Work,Work Meetings,15.63
Social,Parties/Gatherings,22.68
Work,Work Meetings,15.46
Academic,Classes/Lectures,9.74
Personal,Doctor/Dentist Appointments,11.26
Personal,Errands/Chores,19.38
Work,Work Meetings,15.61
Well-being,Exercise,6.44
Personal,Doctor/Dentist Appointments,9.1
Work,Work Meetings,15.84
Work,Work Meetings,15.1
Extracurricular,Volunteer Activities,14.17
Academic,Study Sessions,13.99
Work,Work Meetings,16.84
Work,Part-time Job Shifts,11.32
Academic,Exams/Quizzes,19.73
Personal,Birthdays/Anniversaries,14.1
Academic,Study Sessions,14.31
Academic,Exams/Quizzes,19.83
Work,Work Meetings,15.97
Extracurricular,Club Meetings,20.82
Academic,Exams/Quizzes,19.66
Academic,Classes/Lectures,9.56
Extracurricular,Club Meetings,20.91
Academic,Classes/Lectures,8.42
Social,Family Events,14.82
Academic,Classes/Lectures,9.78
Work,Work Meetings,16.9
Academic,Exams/Quizzes,19.8
Social,Parties/Gatherings,22.09
Social,Family Events,14.96
Social,Parties/Gatherings,22.46
Social,Family Events,14.63
Extracurricular,Volunteer Activities,14.67
Extracurricular,Club Meetings,20.1
Work,Work Meetings,16.41
Work,Part-time Job Shifts,9.59
Work,Work Meetings,15.05
Academic,Study Sessions,13.31
Social,Family Events,14.28
Extracurricular,Volunteer Activities,14.66
Social,Family Events,14.07
Academic,Exams/Quizzes,19.01
Extracurricular,Sports Practices/Games,17.66
Work,Part-time Job Shifts,12.9
Well-being,Meditation/Yoga,13.11
Personal,Errands/Chores,18.67
Personal,Errands/Chores,19.17
Personal,Birthdays/Anniversaries,14.05
Work,Part-time Job Shifts,11.81
Well-being,Meditation/Yoga,13.57
Extracurricular,Volunteer Activities,14.9
Work,Part-time Job Shifts,12.12
Social,Parties/Gatherings,21.89
Well-being,Exercise,7.31
Work,Part-time Job Shifts,10.02
Academic,Classes/Lectures,8.41
Academic,Study Sessions,14.67
Work,Part-time Job Shifts,11.71
Personal,Errands/Chores,19.89
Social,Parties/Gatherings,21.98
Well-being,Exercise,7.67
Social,Parties/Gatherings,21.55
Well-being,Exercise,6.15
Work,Part-time Job Shifts,9.22
Personal,Birthdays/Anniversaries,14.95
Academic,Exams/Quizzes,19.34
Social,Family Events,14.55
Well-being,Exercise,7.81
Extracurricular,Sports Practices/Games,16.07
Well-being,Exercise,7.58
Social,Parties/Gatherings,22.88
Well-being,Exercise,6.21
Work,Part-time Job Shifts,11.84
Work,Work Meetings,15.43
Extracurricular,Club Meetings,19.96
Social,Parties/Gatherings,22.06
Well-being,Meditation/Yoga,13.29
Social,Family Events,14.38
Personal,Birthdays/Anniversaries,14.48
Personal,Errands/Chores,19.15
Work,Part-time Job Shifts,11.46
Academic,Classes/Lectures,9.97
Social,Family Events,14.8
Work,Work Meetings,15.07
Personal,Birthdays/Anniversaries,14.96
Work,Work Meetings,16.46
Extracurricular,Volunteer Activities,14.93
Academic,Classes/Lectures,8.72
Personal,Birthdays/Anniversaries,14.56
Work,Part-time Job Shifts,12.98
Academic,Classes/Lectures,12.0
Well-being,Exercise,6.0
Personal,Errands/Chores,18.63
Well-being,Meditation/Yoga,13.1
Social,Parties/Gatherings,22.6
Well-being,Exercise,7.48
Well-being,Exercise,7.41
Extracurricular,Volunteer Activities,14.61
Work,Work Meetings,15.09
Extracurricular,Club Meetings,20.07
Extracurricular,Volunteer Activities,14.22
Academic,Exams/Quizzes,18.69
Social,Family Events,14.7
Work,Work Meetings,15.07
Well-being,Exercise,6.66
Academic,Exams/Quizzes,18.78
Work,Work Meetings,15.23
Extracurricular,Sports Practices/Games,16.06
Extracurricular,Sports Practices/Games,16.67
Extracurricular,Volunteer Activities,14.47
Well-being,Meditation/Yoga,13.33
Social,Family Events,14.98
Extracurricular,Club Meetings,19.09
Personal,Birthdays/Anniversaries,14.71
Social,Parties/Gatherings,21.14
Well-being,Meditation/Yoga,14.09
Well-being,Meditation/Yoga,14.51
Well-being,Exercise,6.75
Work,Work Meetings,16.04
Well-being,Exercise,6.16
Work,Work Meetings,15.39
Well-being,Exercise,6.6
Work,Work Meetings,16.87
Extracurricular,Sports Practices/Games,17.88
Extracurricular,Volunteer Activities,14.81
Personal,Birthdays/Anniversaries,14.15
Extracurricular,Volunteer Activities,14.76
Well-being,Meditation/Yoga,13.11
Work,Part-time Job Shifts,11.1
Social,Parties/Gatherings,21.53
Social,Family Events,14.87
Social,Parties/Gatherings,22.76
Work,Part-time Job Shifts,9.7
Social,Parties/Gatherings,21.97
Well-being,Meditation/Yoga,14.53
Personal,Doctor/Dentist Appointments,9.12
Work,Work Meetings,15.43
Social,Family Events,14.48
Academic,Classes/Lectures,11.77
Personal,Errands/Chores,19.48
Academic,Classes/Lectures,11.98
Well-being,Exercise,6.24
Work,Part-time Job Shifts,9.47
Work,Work Meetings,16.8
Extracurricular,Club Meetings,20.3
Work,Work Meetings,16.93
Social,Parties/Gatherings,22.23
Social,Parties/Gatherings,21.76
Work,Part-time Job Shifts,9.08
Personal,Errands/Chores,19.57
Personal,Birthdays/Anniversaries,14.98
Academic,Classes/Lectures,8.68
Extracurricular,Volunteer Activities,14.61
Extracurricular,Club Meetings,20.89
Personal,Birthdays/Anniversaries,14.77
Work,Work Meetings,16.63
Social,Parties/Gatherings,21.15
Extracurricular,Volunteer Activities,14.35
Personal,Doctor/Dentist Appointments,9.08
Academic,Classes/Lectures,8.36
Well-being,Meditation/Yoga,13.75
Extracurricular,Club Meetings,20.96
Personal,Errands/Chores,19.81
Academic,Classes/Lectures,9.22
Personal,Doctor/Dentist Appointments,10.19
Academic,Study Sessions,14.24
Well-being,Meditation/Yoga,14.93
Academic,Classes/Lectures,10.79
Academic,Study Sessions,13.91
Extracurricular,Sports Practices/Games,16.55
Social,Parties/Gatherings,23.0
Social,Parties/Gatherings,21.88
Personal,Birthdays/Anniversaries,14.97
Academic,Classes/Lectures,10.98
Personal,Birthdays/Anniversaries,14.99
Academic,Exams/Quizzes,19.19
Well-being,Meditation/Yoga,14.02
Well-being,Meditation/Yoga,14.04
Work,Work Meetings,16.47
Social,Family Events,14.26
Well-being,Meditation/Yoga,13.24
Well-being,Exercise,7.56
Extracurricular,Volunteer Activities,14.17
Academic,Exams/Quizzes,19.34
Well-being,Meditation/Yoga,14.07
Personal,Errands/Chores,19.01
Social,Parties/Gatherings,22.07
Work,Part-time Job Shifts,10.19
Work,Part-time Job Shifts,10.58
Social,Family Events,14.59
Academic,Classes/Lectures,10.49
Work,Work Meetings,15.61
Well-being,Exercise,6.59
Academic,Study Sessions,13.61
Personal,Birthdays/Anniversaries,14.54
Well-being,Meditation/Yoga,14.02
Social,Parties/Gatherings,21.24
Extracurricular,Club Meetings,20.96
Work,Part-time Job Shifts,9.45
Well-being,Meditation/Yoga,14.61
Personal,Birthdays/Anniversaries,14.44
Social,Parties/Gatherings,22.37
Work,Part-time Job Shifts,12.6
Well-being,Meditation/Yoga,14.36
Well-being,Meditation/Yoga,13.94
Personal,Errands/Chores,18.83
Social,Family Events,14.91
Work,Part-time Job Shifts,10.01
Work,Part-time Job Shifts,9.34
Academic,Classes/Lectures,11.23
Work,Work Meetings,16.98
Personal,Doctor/Dentist Appointments,9.19
Academic,Classes/Lectures,8.89
Extracurricular,Volunteer Activities,14.62
Work,Part-time Job Shifts,12.7
Personal,Doctor/Dentist Appointments,10.43
Work,Part-time Job Shifts,9.29
Well-being,Exercise,6.07
Well-being,Meditation/Yoga,13.75
Work,Part-time Job Shifts,9.12
Extracurricular,Volunteer Activities,14.32
Work,Part-time Job Shifts,10.83
Extracurricular,Club Meetings,20.28
Work,Work Meetings,15.9
Work,Work Meetings,15.93
Extracurricular,Club Meetings,20.11
Work,Part-time Job Shifts,10.8
Work,Part-time Job Shifts,10.57
Social,Parties/Gatherings,21.15
Academic,Exams/Quizzes,18.77
Well-being,Meditation/Yoga,13.26
Work,Work Meetings,16.43
Personal,Errands/Chores,19.16
Personal,Doctor/Dentist Appointments,11.33
Work,Work Meetings,15.76
Academic,Classes/Lectures,9.65
Well-being,Meditation/Yoga,14.33
Social,Family Events,14.07
Well-being,Exercise,6.93
Personal,Doctor/Dentist Appointments,10.09
Work,Work Meetings,15.88
Work,Work Meetings,16.87
Well-being,Meditation/Yoga,13.6
Work,Work Meetings,15.11
Extracurricular,Volunteer Activities,14.4
Extracurricular,Sports Practices/Games,17.87
Personal,Birthdays/Anniversaries,14.6
Extracurricular,Club Meetings,19.03
Extracurricular,Sports Practices/Games,17.78
Extracurricular,Volunteer Activities,14.14
Work,Part-time Job Shifts,12.76
Extracurricular,Sports Practices/Games,17.39
Social,Parties/Gatherings,21.58
Personal,Doctor/Dentist Appointments,9.31
Work,Work Meetings,16.38
Social,Parties/Gatherings,22.13
Academic,Exams/Quizzes,19.47
Academic,Classes/Lectures,9.58
Social,Family Events,14.1
Well-being,Meditation/Yoga,14.15
Personal,Birthdays/Anniversaries,14.28
Personal,Doctor/Dentist Appointments,9.55
Extracurricular,Sports Practices/Games,17.66
Academic,Exams/Quizzes,19.01
Academic,Classes/Lectures,9.69
Academic,Study Sessions,13.1
Academic,Study Sessions,13.57
Well-being,Exercise,7.84
Social,Family Events,14.78
Social,Family Events,14.17
Well-being,Meditation/Yoga,14.87
Social,Parties/Gatherings,22.07
Well-being,Exercise,7.94
Work,Part-time Job Shifts,12.24
Well-being,Exercise,6.32
Personal,Birthdays/Anniversaries,14.68
Academic,Study Sessions,13.94
Well-being,Exercise,6.33
Personal,Errands/Chores,19.97
Academic,Study Sessions,13.69
Extracurricular,Sports Practices/Games,16.37
Personal,Birthdays/Anniversaries,14.54
Work,Part-time Job Shifts,12.73
Work,Part-time Job Shifts,9.91
Well-being,Meditation/Yoga,13.86
Work,Work Meetings,16.83
Extracurricular,Club Meetings,20.78
Personal,Birthdays/Anniversaries,14.19
Personal,Doctor/Dentist Appointments,9.77
Academic,Study Sessions,13.83
Well-being,Exercise,7.62
Well-being,Meditation/Yoga,14.65
Social,Parties/Gatherings,22.8
Well-being,Meditation/Yoga,14.12
Work,Part-time Job Shifts,10.99
Academic,Study Sessions,13.24
Academic,Classes/Lectures,9.77
Personal,Birthdays/Anniversaries,14.11
Social,Parties/Gatherings,22.68
Well-being,Exercise,6.6
Extracurricular,Volunteer Activities,14.39
Academic,Study Sessions,14.92
Social,Parties/Gatherings,21.73
Personal,Birthdays/Anniversaries,14.22
Well-being,Meditation/Yoga,14.35
Work,Work Meetings,15.99
Extracurricular,Volunteer Activities,14.44
Extracurricular,Sports Practices/Games,16.31
Work,Part-time Job Shifts,12.2
Personal,Birthdays/Anniversaries,14.91
Social,Family Events,14.68
Work,Part-time Job Shifts,12.12
Well-being,Meditation/Yoga,13.07
Extracurricular,Volunteer Activities,14.83
Well-being,Meditation/Yoga,13.48
Personal,Doctor/Dentist Appointments,11.02
Work,Work Meetings,15.77
Work,Part-time Job Shifts,12.62
Social,Parties/Gatherings,21.23
Extracurricular,Club Meetings,20.29
Personal,Doctor/Dentist Appointments,11.38
Extracurricular,Club Meetings,20.78
Personal,Doctor/Dentist Appointments,9.13
Extracurricular,Club Meetings,20.63
Extracurricular,Sports Practices/Games,17.41
Academic,Study Sessions,13.53
Well-being,Meditation/Yoga,14.53
Academic,Classes/Lectures,11.61
Social,Family Events,14.59
Extracurricular,Club Meetings,19.02
Well-being,Meditation/Yoga,13.32
Extracurricular,Sports Practices/Games,17.1
Well-being,Exercise,6.24
Social,Parties/Gatherings,21.94
Personal,Birthdays/Anniversaries,15.0
Academic,Classes/Lectures,8.16
Social,Parties/Gatherings,22.29
Personal,Errands/Chores,18.77
Extracurricular,Sports Practices/Games,16.63
Well-being,Meditation/Yoga,14.67
Personal,Doctor/Dentist Appointments,10.79
Extracurricular,Volunteer Activities,14.34
Work,Work Meetings,16.17
